Event Title,Date,Location,Status,URL,Date_of_check
Films At The Fort,11 Aug - 21 Jul 2022,,ENDED,https://thesmartlocal.com/read/films-at-the-fort-2022/,31/03/2024 14:13:10
Have I Gone Mad?,12 - 14 Aug 2022,,ENDED,https://thesmartlocal.com/read/the-secret-patio-tea-party/,31/03/2024 14:13:10
Have I Gone Mad?,19 Aug - 21 Jul 2022,,ENDED,https://thesmartlocal.com/read/the-secret-patio-tea-party/,31/03/2024 14:13:10
Temasek Foundation SSO National Day Concert 2022,13 Aug 2022,"1 Esplanade Drive, Esplanade Concert Hall, Singapore 038981",ENDED,https://thesmartlocal.com/read/sso-national-day-concert/,31/03/2024 14:13:10
Wan Qing Mid-Autumn Festival 2022,16 Aug - 25 Sep 2022,Sun Yat Sen Nanyang Memorial Hall,ENDED,https://thesmartlocal.com/read/celestial-bodies-mid-autumn-festival/,31/03/2024 14:13:10
OnTheList Tory Burch Sale,17 - 20 Aug 2022,"30 Raffles Place, CIMB Plaza #02-20, OnTheList Showroom, Singapore 048622",ENDED,https://thesmartlocal.com/read/onthelist-tory-burch-sale/,31/03/2024 14:13:10
Singapore Night Festival 2022,19 - 27 Aug 2022,Bras Basah-Bugis Precinct ,ENDED,https://thesmartlocal.com/read/singapore-night-festival-2022/,31/03/2024 14:13:10
Hanging Gardens - Mexican Roots,20 Aug - 25 Sep 2022,"18 Marina Gardens Drive, Gardens by the Bay Flower Dome, Singapore 018953",ENDED,https://thesmartlocal.com/read/gardens-by-the-bay-hanging-gardens/,31/03/2024 14:13:10
Samsung Bespoke Home Pop-Up,20 Aug - 15 Sep 2022,"Along 391A Orchard Road, Ngee Ann City, Singapore 238873",ENDED,https://thesmartlocal.com/read/samsung-bespoke-home/,31/03/2024 14:13:10
Jurong Point Disney Tsum Tsum Display,22 Aug - 10 Sep 2022,,ENDED,https://thesmartlocal.com/read/jurong-point-disney-tsum-tsum/,31/03/2024 14:13:10
Exclusive Movie Screening - DC League Of Super-Pets,26 - 27 Aug 2022,"107 North Bridge Road, Funan, Roof Garden, Singapore 179105",ENDED,https://thesmartlocal.com/read/funan-outdoor-movie-screening/,31/03/2024 14:13:10
Chinatown Point,30 Aug - 30 Sep 2022,"133 New Bridge Road, Singapore 059413",ENDED,https://thesmartlocal.com/read/chinatown-point-mid-autumn-festival/,31/03/2024 14:13:10
Festival Village 2022,31 Aug - 11 Sep 2022,"Bayfront Event Space, 12A Bayfront Avenue, Singapore 018970",ENDED,https://thesmartlocal.com/read/singapore-food-festival-2022/,31/03/2024 14:13:10
MENTAL: Colours Of Wellbeing,03 Sep 2022 - 26 Feb 2023,"6 Bayfront Avenue, Singapore 018974",ENDED,https://thesmartlocal.com/read/mental-colours-of-wellbeing-asm/,31/03/2024 14:13:10
"Rent-A-Craft, Pay-By-Trash",03 - 11 Sep 2022,,ENDED,https://thesmartlocal.com/read/passion-wave-kayak-rental/,31/03/2024 14:13:10
A Minion’S Perspective Experience,03 Sep 2022 - 02 Jan 2023,"Resorts World Sentosa Waterfront, 8 Sentosa Gateway, Singapore 098269",ENDED,https://thesmartlocal.com/read/a-minions-perspective-experience/,31/03/2024 14:13:10
Singapore International Photography Festival,15 Sep - 30 Oct 2022,"1 Sophia Road, Singapore 228161",ENDED,https://thesmartlocal.com/read/singapore-international-photography-festival/,31/03/2024 14:13:10
SAFRA,16 Sep - 30 Oct 2022,,ENDED,https://thesmartlocal.com/read/safra-swim-for-hope-2022/,31/03/2024 14:13:10
Museum Of Ice Cream Singapore'S Anniversary,17 Sep 2022,"100 Loewen Road, Singapore 248837",ENDED,https://thesmartlocal.com/read/museum-of-ice-cream-promotion/,31/03/2024 14:13:10
